,XLK,XLF,XLE,XLV,XLY,XLP,XLU,XLI,XLB,XLRE,XLC
2025-01-03,,,,,,,,,,,
2025-01-06,,,,,,,,,,,
2025-01-07,,,,,,,,,,,
2025-01-08,,,,,,,,,,,
2025-01-10,,,,,,,,,,,
2025-01-13,,,,,,,,,,,
2025-01-14,,,,,,,,,,,
2025-01-15,,,,,,,,,,,
2025-01-16,,,,,,,,,,,
2025-01-17,,,,,,,,,,,
2025-01-21,,,,,,,,,,,
2025-01-22,,,,,,,,,,,
2025-01-23,,,,,,,,,,,
2025-01-24,,,,,,,,,,,
2025-01-27,,,,,,,,,,,
2025-01-28,,,,,,,,,,,
2025-01-29,,,,,,,,,,,
2025-01-30,,,,,,,,,,,
2025-01-31,,,,,,,,,,,
2025-02-03,,,,,,,,,,,
2025-02-04,,,,,,,,,,,
2025-02-05,,,,,,,,,,,
2025-02-06,,,,,,,,,,,
2025-02-07,,,,,,,,,,,
2025-02-10,,,,,,,,,,,
2025-02-11,,,,,,,,,,,
2025-02-12,,,,,,,,,,,
2025-02-13,,,,,,,,,,,
2025-02-14,,,,,,,,,,,
2025-02-18,,,,,,,,,,,
2025-02-19,,,,,,,,,,,
2025-02-20,,,,,,,,,,,
2025-02-21,,,,,,,,,,,
2025-02-24,,,,,,,,,,,
2025-02-25,,,,,,,,,,,
2025-02-26,,,,,,,,,,,
2025-02-27,,,,,,,,,,,
2025-02-28,,,,,,,,,,,
2025-03-03,,,,,,,,,,,
2025-03-04,,,,,,,,,,,
2025-03-05,,,,,,,,,,,
2025-03-06,,,,,,,,,,,
2025-03-07,,,,,,,,,,,
2025-03-10,,,,,,,,,,,
2025-03-11,,,,,,,,,,,
2025-03-12,,,,,,,,,,,
2025-03-13,,,,,,,,,,,
2025-03-14,,,,,,,,,,,
2025-03-17,,,,,,,,,,,
2025-03-18,,,,,,,,,,,
2025-03-19,,,,,,,,,,,
2025-03-20,,,,,,,,,,,
2025-03-21,,,,,,,,,,,
2025-03-24,,,,,,,,,,,
2025-03-25,,,,,,,,,,,
2025-03-26,,,,,,,,,,,
2025-03-27,,,,,,,,,,,
2025-03-28,,,,,,,,,,,
2025-03-31,,,,,,,,,,,
2025-04-01,,,,,,,,,,,
2025-04-02,,,,,,,,,,,
2025-04-03,,,,,,,,,,,
2025-04-04,0.6341112888125658,0.4585805066012599,0.5286901107750649,0.24348645730434124,0.506655303909185,0.19624542848487522,0.28081813810539286,0.4415190397721965,0.4008465803195738,0.31017055679125594,0.42089165098339404
2025-04-07,0.6573501819782616,0.4769220878090975,0.5473138956279561,0.24766348947616285,0.520267463934103,0.2008236251412642,0.286689767747027,0.4578384336007384,0.4210159237884204,0.31917986845669705,0.43882499474478953
2025-04-08,0.7269740053518098,0.5253245872205672,0.6076663064151144,0.269873981473019,0.5807978798212442,0.21538306812640504,0.30892148912991824,0.5071135959681614,0.47651825809690573,0.36058017649955637,0.48502464016266966
2025-04-09,0.4600944051348051,0.3181553944859549,0.38514741195480157,0.20449620411384248,0.3760895206234169,0.19713524741535568,0.22951927117236792,0.32010765480756187,0.315029876267198,0.25318332994008397,0.30885106685312086
2025-04-10,0.5432528100232255,0.36850639982507827,0.45991517928796444,0.23297524736795308,0.44277242468920813,0.20563898097262015,0.2458467390027966,0.3729834310220388,0.3680828198233594,0.28432795537245786,0.36655880955964965
2025-04-11,0.5023451212789771,0.3406765003506037,0.4371054831331128,0.22398084144559485,0.4101304399804651,0.1997451127988415,0.2377742577128541,0.3469796574315189,0.34813254172716585,0.26528458466581956,0.3375515595512592
2025-04-14,0.4183957552963671,0.2897678047506865,0.3783565115008505,0.2014102041159565,0.34285847106659545,0.19261135981158906,0.22119123973806373,0.29021580201154823,0.29223291764297843,0.23750008167850484,0.28191537397254773
2025-04-15,0.408931402581448,0.28302085704326857,0.37133743860047264,0.1982536083786523,0.3354630108444581,0.19251337930590803,0.2178276999497076,0.2828652816682996,0.2853635243574516,0.23357371649999106,0.275616428590047
2025-04-16,0.4427426722300156,0.2985437239486667,0.39015523927612566,0.2071533268273118,0.3581072288140268,0.19733078219121095,0.22318786690882297,0.3043515890329826,0.3044404675177899,0.24430527350037504,0.29898519696460113
2025-04-17,0.40521212741970764,0.2760308258686507,0.36977219863433797,0.1974394791174378,0.32930467356689597,0.19657238623931575,0.21060870077041555,0.27826128656285115,0.28081609537318086,0.229095445033654,0.2743712421137282
2025-04-21,0.45538411024600267,0.3077370084072815,0.40305023186046357,0.2148208929288113,0.369500164057546,0.20352536754505718,0.22649091066854768,0.31429973314015275,0.3126954222865866,0.2504619293566853,0.3098057703872983
2025-04-22,0.4128310900414921,0.28737358199028384,0.37811374984560153,0.20278483057596242,0.33976006293134436,0.19935800700870474,0.22062984774934935,0.28258410896478037,0.28676199895176324,0.23440858619085628,0.28350927984279584
2025-04-23,0.3864374336470146,0.2712586613690549,0.35929185445919914,0.19537756379537247,0.3208432755092536,0.1962622944010196,0.20970269036302702,0.26496061361346285,0.2691092560519861,0.22151552150533,0.26575490708451477
2025-04-24,0.36520556546213506,0.2556074298510852,0.3439505925307311,0.1875890308212204,0.3011852674506726,0.1948518793840187,0.20376013748365188,0.2489424919502889,0.25484947654294304,0.21180607096878531,0.24977471136847237
2025-04-25,0.34558173789565855,0.24404217922562924,0.33184182721665684,0.18248546845226402,0.28713132428450777,0.1929207912041767,0.198677453956664,0.23536029382424842,0.2432595761085853,0.20502257854898331,0.2354604019526912
2025-04-28,0.3396735732518866,0.244470101181423,0.3346142258121736,0.17645728097279742,0.28927721548552443,0.18514499136327542,0.19528204545872913,0.23789398336934078,0.24560718735969686,0.20510984683965464,0.2375361882832803
2025-04-29,0.32476029276629026,0.23781460429641482,0.3269502994715017,0.17252782886166615,0.27998934090420247,0.18100307974163904,0.19043526968929617,0.2293685642313735,0.2384398409610647,0.19930431383167896,0.22962823141049069
2025-04-30,0.33126017181940826,0.24173785342601675,0.33490640544198574,0.17502225711197672,0.28562085326874437,0.18212833183569202,0.19211800127834291,0.23421208489314105,0.24266101379387917,0.20053600955793524,0.23370838970893537
2025-05-01,0.3307564901879507,0.2404721136338707,0.33408436196895713,0.1825898731548189,0.2840905659811324,0.18238479077251266,0.18800272063220375,0.23279535246271638,0.2416985768014642,0.19878484530388774,0.2328790426334193
2025-05-02,0.30707444368540904,0.22796010809850747,0.3170483542742289,0.17784277289009023,0.2654931041717279,0.17896750838132833,0.18298576669280023,0.21761904038497645,0.22804550446306276,0.19105975866873734,0.21668877970750852
2025-05-05,0.3182677778582545,0.23503961878402893,0.3243355196914133,0.1803817663202247,0.2746555375940438,0.17997624688222982,0.18495146155734457,0.22512234982625756,0.235149740909425,0.1950804341257111,0.224768475720418
2025-05-06,0.3312561585565051,0.24311752013016535,0.3301212083378725,0.19075099809451143,0.28493732958334883,0.180317886414259,0.1883550340423997,0.2345799093165302,0.2436061603484775,0.2001053700820995,0.23396551274748428
2025-05-07,0.31601383426878377,0.23367445288530947,0.3216918977297779,0.1865485179129906,0.27245663773248097,0.17842322787074355,0.18456795906764417,0.22466004923363878,0.23494475586123234,0.1928976780566117,0.2227482828056833
2025-05-08,0.30310990177868374,0.22566292563406165,0.31260357814459744,0.18342775263398378,0.26244384019028777,0.1770209659021364,0.18308118719023464,0.21669949250067358,0.22797221317310132,0.18890875336080767,0.21356603942198724
2025-05-09,0.29622663513436365,0.22157287056104388,0.3093953693628694,0.1827107863022046,0.25592063212457034,0.17675498360182473,0.181775765483935,0.21205470219486236,0.223424794709865,0.18701484094237927,0.20890403298213575
2025-05-12,0.25455451545809965,0.19480979394795825,0.28398990668381374,0.1749390230479743,0.2269638414548093,0.17286910078795745,0.17619790758301107,0.18372839720238468,0.1981039147412307,0.17484255173362573,0.1788474535261573
2025-05-13,0.2543828002779506,0.19359299839860908,0.28319808656119194,0.1858083057576804,0.22473942120054835,0.17439777237908136,0.17581225446047044,0.1823929865067132,0.19740753181977955,0.17696013221541576,0.1778099118921475
2025-05-14,0.25933012203390426,0.19640465531495552,0.28251907584003605,0.19227272922126423,0.2286149271842022,0.17514274030420124,0.17679051367976484,0.1857385630289103,0.20078424260722744,0.17858352304353423,0.18115826552673245
2025-05-15,0.25003403665291896,0.19128345473777889,0.27779311228839376,0.19218201715313527,0.2209653612850873,0.1778577637442961,0.17967310091443328,0.17969048499382884,0.19489255476251036,0.17898648100037573,0.17458865575333762
2025-05-16,0.24312253206138115,0.18734585682721488,0.27436382666743925,0.19367523218986968,0.21557036843853689,0.1772136876173394,0.18004309280474573,0.17532048838040099,0.191373296186613,0.17803511712494208,0.16946172322090353
2025-05-19,0.2533829041082088,0.1930658974473466,0.27987774672051946,0.19680831783526967,0.22397636887219044,0.1780051034659442,0.18102078381426953,0.1822207919385391,0.19603419744440295,0.1808269089305336,0.17624400742634944
2025-05-20,0.2527668613313129,0.192847406719614,0.27946060752250323,0.19513546518650107,0.22350913666622862,0.1775488456209332,0.18088236108520703,0.18186394548902995,0.19394772321654682,0.18084843008607837,0.17583848299474641
2025-05-21,0.2855742763817172,0.21141340467119996,0.29583228595113753,0.204131010966389,0.2504653831376702,0.18095891062189218,0.18821537506028907,0.2045170610578247,0.21299023577323153,0.1938355509651491,0.19827762066927107
2025-05-22,0.2776577278983548,0.2074090151901259,0.2917096816295945,0.20303834779725122,0.24343278419912914,0.17811102565562212,0.18928767756067014,0.19820108376509216,0.20833797230176543,0.19196683601838718,0.1936414400833677
2025-05-23,0.3011181907114899,0.2214036610345257,0.3052883241773819,0.20739870923079845,0.2633220621276387,0.1805335734126927,0.19496093366152847,0.2145583075825188,0.22248956703640835,0.19888492175295572,0.20996761792559276
2025-05-27,0.2604008336486407,0.19759656660771774,0.2828640301693361,0.19744151853597525,0.23200527169687263,0.17432687255360496,0.18834585959721187,0.18666650176127134,0.1981136458429028,0.18589615679124194,0.1808454799955944
2025-05-28,0.2636988173959226,0.2000689403755014,0.28525257559129774,0.19805388642874924,0.2353987893949132,0.17064232610020724,0.19059243105640114,0.18952749256004783,0.20154653238332426,0.18693907405275506,0.18371782890404145
2025-05-29,0.2581374473433243,0.1971911853428078,0.28282015982804537,0.1981689896227372,0.2343923605116279,0.17051397380369313,0.18707025279321263,0.1884625907828651,0.2007968630657855,0.18591954033644642,0.18410858584148304
2025-05-30,0.2512751784212338,0.19170961564769573,0.27916071621124233,0.19619172200793392,0.22871468624820568,0.16966007419600315,0.18600609894544418,0.18359834573816378,0.19676548080428288,0.18385496075397212,0.17936313724509276
2025-06-02,0.24712792310161996,0.1904328194942757,0.2751586436169456,0.19404030750499054,0.22676667958159888,0.16844599877926988,0.1853463410964125,0.18228640686205722,0.1946508341453098,0.18020842619347271,0.17793427402516648
2025-06-03,0.23934579663352207,0.1767312157553577,0.27177385494666934,0.1922412477893277,0.21978947417360006,0.16523669870391636,0.18219731815999107,0.17513213958176008,0.19022492118255144,0.17773963067445708,0.17312967286314784
2025-06-04,0.23841424776446815,0.17657274226421077,0.27058813978932894,0.19157332687135534,0.21875903675798725,0.1657278180952332,0.18446464089744266,0.17385189267875706,0.18588023644171425,0.17733772318193816,0.1726463049653957
2025-06-05,0.24769303401718953,0.18272408986497574,0.27438554043766794,0.19368026276980643,0.2302950788926856,0.16715013586260866,0.18286386811729358,0.18114213275914864,0.19183158698367478,0.17612086300517926,0.17944551486663649
2025-06-06,0.22678506870839937,0.1697454961603247,0.2632010116492444,0.189699903441042,0.21411188986282745,0.16520517400314602,0.1772692418263545,0.16666214745857488,0.18015164126582278,0.16994582104674857,0.16626843592180457
2025-06-09,0.22878719667091482,0.17308510945277739,0.25992569214075484,0.1908704601887332,0.21665999156998247,0.16546385444053632,0.17463788340055122,0.17041711895491293,0.1835338012943779,0.17146440295816376,0.16921687983733485
2025-06-10,0.22635953243675241,0.17153472297478045,0.26026533926119216,0.19122082838115873,0.21511550970346555,0.1633297030921264,0.1736853215629504,0.16828613559506272,0.18217866123329554,0.1707729202631366,0.16734097465156927
2025-06-11,0.2291450471715005,0.17371760462648983,0.2647552884751045,0.19096029014530427,0.2183216562240763,0.15695250874792047,0.17392772289250708,0.17059928336719635,0.18433497053319312,0.17167829622074843,0.1697562233640954
2025-06-12,0.2379174348660085,0.17945642564065123,0.27007587280979684,0.1937151470008131,0.22394700453467997,0.1581583339165329,0.1761784570432962,0.17731061742873727,0.18921499206804712,0.17231220457757196,0.1753050110907126
2025-06-13,0.2706173369127536,0.2015077276445797,0.292817836901305,0.20208752242437533,0.2503708932695794,0.1632073005870708,0.1798033168742546,0.20046656063730492,0.21005179329677154,0.18158871716924535,0.19743044906330146
2025-06-16,0.25066665932585946,0.18841375927727147,0.28024737656535,0.19583596296365946,0.2340226699657231,0.15874045858620933,0.1770670883016629,0.18545120089277908,0.1968261993206348,0.1725673096426967,0.1851484291230281
2025-06-17,0.27993498299170194,0.20720051484071444,0.29883025584414186,0.20467059611736912,0.25812375507941115,0.16177325529286626,0.18222763864613423,0.20628405410387535,0.21545778342098978,0.18210479360334472,0.20442402036680363
2025-06-18,0.2625879582757858,0.19581200622326594,0.2879947216811603,0.2000943444452198,0.2431422056314059,0.15964391925169413,0.1793810398605883,0.19383884706985355,0.2046131390052563,0.17648299954959704,0.1925732302342773
2025-06-20,0.26813823374898854,0.1995557194405922,0.29217181217042076,0.20152930770897956,0.2477664941564965,0.16081513036881362,0.1802075743445231,0.19769111807657533,0.20829176477580438,0.17834511025435903,0.19668777423512562
2025-06-23,0.25862317617462216,0.19387728111563207,0.2927381746090314,0.19902322419041937,0.24136020044273773,0.16073503047253324,0.17915612558296615,0.19117323223986687,0.20168871796581955,0.17552052482616473,0.19027088102133455
2025-06-24,0.23145965130189858,0.17670895162502617,0.2806028517778805,0.1931191264358662,0.21463534536816706,0.15779701557754028,0.17438209353593337,0.17151490184089074,0.18447820823297653,0.16638304411918406,0.17225416471144883
2025-06-25,0.22340653905571714,0.1713862961247345,0.2762946131780106,0.1896109437981311,0.20917819003628807,0.15813348139637204,0.17189296457921918,0.16686924204496567,0.18033230438152234,0.16933090376118148,0.1652984799217732
2025-06-26,0.22000641862225176,0.17004431762115235,0.27418648341524887,0.18909406692135083,0.20770560221002182,0.1536660474079487,0.17079167351104968,0.16591970026490271,0.17854164537392198,0.1684650281248275,0.16452719089774218
2025-06-27,0.21670293348330474,0.16807425450647026,0.2726943479699733,0.1882171523180659,0.2067683634413962,0.1515152706922296,0.17030057735002146,0.16398299142999864,0.17658335947352272,0.16760909202572963,0.16310834748819314
2025-06-30,0.2215361969885042,0.1712095453375033,0.2746214289630486,0.18936540316380862,0.20919180934175977,0.15234840385912454,0.16902097026289353,0.1667426453946081,0.1797061370471947,0.16861834753329058,0.16287189434152052
2025-07-01,0.22323727126197512,0.1715900506126267,0.27548668193749565,0.1914733623443697,0.2101656614293428,0.1519848725431111,0.16844232548404825,0.1676002983326633,0.18741415024469246,0.1688202675376228,0.16434453875996957
2025-07-02,0.22113515196824646,0.17024579513280128,0.2759705438248471,0.1885659410512301,0.20803551085583674,0.15177544030001647,0.16930132735462958,0.16606702466903858,0.18765420471726452,0.16815583053302943,0.16335346597660158
2025-07-03,0.21825843187077454,0.16854335609666715,0.27442767340876234,0.1874881752235252,0.20383899872560332,0.151251970290409,0.16900344499031666,0.163820291202478,0.18600481197236174,0.16722260199130654,0.161339979317114
2025-07-07,0.23030070083487245,0.17627794418276738,0.2686647445110451,0.1909227818375432,0.21296960807889126,0.1490916245866196,0.17180417292276698,0.16907856158810214,0.19548135927228208,0.1725178494796573,0.1716903423058712
2025-07-08,0.2212492575779954,0.14855285702626633,0.24118492991836757,0.17870074205005257,0.20980965645974017,0.13681503714903578,0.15152844794717582,0.15123608654885765,0.18243315787734746,0.1641834703768808,0.15964501619550212
2025-07-09,0.21100253107697395,0.14275754107824504,0.2377912722741066,0.17605947804431551,0.20022510023337523,0.13465433115454079,0.14739327285296042,0.14442052862659907,0.17395929441131291,0.1542033130571852,0.1533262590153706
2025-07-10,0.2094186456382652,0.14213395056076025,0.23550840364071035,0.17597046836081498,0.1980395275611166,0.13230018907370464,0.1477742904123987,0.14367019320255456,0.16639763747539504,0.1487396585827034,0.15248926714948996
2025-07-11,0.21425664540355083,0.15506895740489876,0.24068137788246705,0.18797123416859504,0.21184707233847036,0.12756562542316718,0.1491663182237301,0.14438108141742514,0.16725351867306051,0.14774687027992717,0.156207816869689
2025-07-14,0.23109249378780272,0.17121503775456184,0.21147984980087525,0.19563884752311206,0.23315489174175133,0.13149681819720188,0.15523258008617535,0.1594877872202239,0.1752084401976742,0.15142699851336872,0.16470062528015422
2025-07-15,0.23342434808382043,0.17671828006064053,0.20978451233560494,0.19879187690157013,0.2410258220880734,0.13122717742186452,0.15625344618624112,0.1614136778571028,0.17460695815588326,0.1531905259558512,0.16994168300481813
2025-07-16,0.23150197557606775,0.17481069362676266,0.2104070144767918,0.1979003266642595,0.2395075897246683,0.12636782173424593,0.15186836931832198,0.15935901093473,0.17221987212273523,0.147707475431972,0.16858045520076842
2025-07-17,0.224449806371837,0.17061656343722992,0.20913361730179833,0.19569468251581335,0.23115716359270563,0.12582078684264683,0.15061351224220126,0.15411671994425857,0.16767705351653608,0.14600242342829015,0.16387443911479743
2025-07-18,0.2166486107372481,0.17329163507647766,0.21290002401924618,0.19919028381087425,0.2330672005126504,0.12461834447970253,0.15367701261024933,0.1568231355001948,0.17177522381780938,0.14903693065135853,0.15715689549727602
2025-07-21,0.21850868072644564,0.17567975914137252,0.21077614589504623,0.20037376026529644,0.23592836799825156,0.11760103148933167,0.1532520935527703,0.15971749747765335,0.17320190731976895,0.14704016245162427,0.16013243064011468
2025-07-22,0.221178058561154,0.17612592741768826,0.204041891391026,0.20219996511351462,0.2386118547900146,0.11799827797266652,0.1451299743255491,0.15659374633488257,0.17689780739876004,0.14456487777463334,0.15601288233251512
2025-07-23,0.21395825802481144,0.15849048983583888,0.19789213334888714,0.20095464132067445,0.22582593522602906,0.11312979099569476,0.1343663188223648,0.15492477324425646,0.1677655129007266,0.13663513421100396,0.14428264334958785
2025-07-24,0.2096618527552742,0.15930258868398786,0.1992949690168697,0.2024923085805937,0.228676932914338,0.1135688463040558,0.1345063839552116,0.1564927248367642,0.17285277749777078,0.13778091097416523,0.14278431134804592
2025-07-25,0.19614517719713495,0.16051994832903305,0.19661474876185203,0.2017096307037838,0.22831062374745745,0.11397152279685527,0.13488524020026182,0.15164967113078096,0.168643842577533,0.1387551416354365,0.1392176792554756
2025-07-28,0.19575577312377396,0.16307542788429877,0.19782778805878268,0.20293391745636086,0.22677275011424058,0.11636058087311758,0.1371339277786499,0.1537648105445046,0.1729673269688877,0.14447449415885164,0.1407115993628029
2025-07-29,0.20565294499686948,0.17210874983092475,0.19984944882208572,0.2080229690153055,0.2390707070278968,0.11798048762818836,0.13878772490755772,0.16529586153881567,0.1798144346264226,0.1492015426674807,0.14865554598309363
2025-07-30,0.20023097597747713,0.16646784389388197,0.201679987922006,0.20505530244417983,0.2335661380647739,0.11741154077115307,0.1380782674124543,0.1617568195156389,0.1819322338268014,0.15040828366444914,0.14474885292344541
2025-07-31,0.21559866041021009,0.17820687334799712,0.19629907373460184,0.22009732322326064,0.24823153467451076,0.12033849363594225,0.13827969780910557,0.17193531883334567,0.19334388074678016,0.15906919126272714,0.15152592750021293
2025-08-01,0.2589867515106346,0.21466489824134025,0.21235941975444741,0.22775255624568497,0.2964220008085897,0.12300809564559372,0.1397663371403852,0.20424944058460542,0.21872913710586525,0.167070915283669,0.17471466775903838
2025-08-04,0.22744118414862818,0.18107833996108158,0.1991819694824988,0.21235588967128585,0.257491373943255,0.11814795675839378,0.14205362169233926,0.17363098378724842,0.19499088444662083,0.15695198974151642,0.15894456189067566
2025-08-05,0.23258521096565432,0.18352749804875695,0.194596545025071,0.21442011861829213,0.2588286562854478,0.11871509682765408,0.14465956781352785,0.17730014808859526,0.1952250647450658,0.15760404261959254,0.16385109026932737
2025-08-06,0.22068613193030545,0.17492249622017345,0.19333945284320964,0.19965766967105034,0.2505680847326499,0.12146597944537503,0.14413022437227196,0.16639025432992582,0.1877258338226606,0.15439488222316686,0.15834719037571154
2025-08-07,0.21768652702034363,0.17487226200342693,0.19329748381062656,0.19948257362377972,0.24758671793773485,0.1217646783585612,0.14499714180553888,0.1647006057764741,0.18613942885578907,0.15400448240120398,0.15767305067279982
2025-08-08,0.20101964592384092,0.1624684203595463,0.18913673956212995,0.19447603998450297,0.22825910421083848,0.11982868197040054,0.14305107645855455,0.14992116301330954,0.17510467999132148,0.15133850470748184,0.14827530562970304
2025-08-11,0.21483309617996274,0.17209333051002054,0.19147173869038686,0.19763114555324815,0.2413971092458753,0.12074245715244461,0.14435976178213158,0.15929501447873673,0.1820826666607401,0.15394005935384716,0.1543625152582768
2025-08-12,0.1911733536922057,0.17364054423466985,0.1811493657588103,0.18920699962974374,0.21324900025118257,0.1235869685446299,0.14816646534115446,0.1454245633485306,0.17863730053940002,0.15797199317842206,0.1563310016526079
2025-08-13,0.183334555377074,0.172027630919953,0.17992646873080229,0.183875090749994,0.21081830892520487,0.12085856507655594,0.14791081501987835,0.1433017196589782,0.1819528431532196,0.15670984142624433,0.15424704026926755
2025-08-14,0.18716494372590747,0.17530977499957534,0.17984420628423378,0.17892304742610685,0.21455857460083264,0.12285226219246734,0.14926025066305118,0.14714335462820638,0.18479524156097504,0.15774413849339944,0.1565299940796838
2025-08-15,0.19190575605190802,0.17932301501336362,0.1798127912438498,0.17951767789561093,0.2179145896229413,0.11569034255288609,0.14388063479989155,0.147880154927301,0.1849887350425304,0.15355034843540852,0.1580019568259679
2025-08-18,0.1918145091315653,0.1781357877049628,0.18033204562981334,0.17370718560221374,0.2160885333698729,0.11262223859827458,0.14075887164642437,0.14502320091382664,0.18362848059215933,0.15183157813241976,0.15798892251133015
2025-08-19,0.2035789615309519,0.1818453656731323,0.178744790733077,0.17413180926875965,0.22059237348909272,0.11413709071159232,0.14171756845357225,0.1477542281991474,0.1857517558522437,0.15529472444683187,0.1625455681044681
