sector,macro,alpha,t_alpha,delta,t_delta,gamma,t_gamma,speed,t_speed,color,t_color,r2,r2_adj,n
XLK,DXY,0.0009363996406237451,0.9004655269282682,0.002794693201018986,2.6874475135233187,-0.0034644612431906055,-3.3315133662313,0.003766212550202267,3.621685038540526,0.0014844049015031776,1.427441216142078,0.12107959213100716,0.10661176648707316,248
XLK,US2Y,0.0009363996406237451,0.8803367248614444,-0.003366574971303721,-3.1650157215607932,-0.0032842974913887433,-3.087664253174969,0.00133988559796438,1.259665689550319,-0.0003613438088621419,-0.3397098967602825,0.08042725347786306,0.06529025353511186,248
XLK,US10Y,0.0009363996406237451,0.8820318609613693,-0.0039344904668607225,-3.706052200221157,0.00028879209582555513,0.2720246982818945,0.0030884206995252118,2.9091056199245195,9.903080092288179e-06,0.009328102857057995,0.08395842538774934,0.06887955173158067,248
XLK,VIX,0.0009363996406237451,1.6623071681782884,0.01459489622425898,25.90902383969661,-0.0007175440394226072,-1.273792244752768,0.001343940921132211,2.3857790305409443,-0.002557487436098026,-4.540080445481387,0.7420941605103428,0.7378487968973444,248
XLF,DXY,0.0005996254585696351,0.8322125986938316,0.0013505705430910675,1.874439794578254,-0.003447261696172252,-4.784410957787999,0.0017233123893953728,2.3917634941002914,0.001594547664558209,2.21305255922362,0.13221180600821703,0.11792722668324951,248
XLF,US2Y,0.0005996254585696351,0.7978754315679019,-0.001571944283032997,-2.0916652308550967,-0.001140206521538996,-1.5171850318356914,0.001666312068946338,2.2172331780388648,-0.0012571941843732709,-1.6728515076966026,0.055912766059370234,0.04037223545952451,248
XLF,US10Y,0.0005996254585696351,0.7975148373525026,-0.0013408330362092418,-1.7833369572734603,0.0006147807111580778,0.8176716512942257,0.0024139632952274253,3.2106234270982674,3.267464320630539e-05,0.04345798262867039,0.055058839982400465,0.03950425298622606,248
XLF,VIX,0.0005996254585696351,1.3378672441293589,0.009750385836578817,21.75478315997276,0.0010153204590227088,2.2653540889693904,-0.00042410028413187824,-0.946240474377895,-0.0005280211636015525,-1.178105780689679,0.6642188839372796,0.6586916227675228,248
XLE,DXY,0.00028157699396508034,0.30258921248723525,0.002353563930013544,2.529194754488643,-0.004273742522645301,-4.592663505956834,0.003295002303270735,3.540886412808161,-0.00031603520516536613,-0.3396188108361203,0.1417752096212469,0.1276480525779753,248
XLE,US2Y,0.00028157699396508034,0.2862375546213991,-0.0027078002853217647,-2.752618817181313,-0.001022151752767799,-1.0390700392252779,0.0012174500659421742,1.2376008595083086,-0.00041695006087122757,-0.4238512676139462,0.0409202720321733,0.02513295140718852,248
XLE,US10Y,0.00028157699396508034,0.29001048620000663,-0.0033623756831689406,-3.4630819547133664,0.0010586367952050157,1.090343949494319,0.0017238874558213105,1.7755194846594298,-0.0008447519319613264,-0.8700530361400239,0.06571250817714702,0.05033329020475441,248
XLE,VIX,0.00028157699396508034,0.3851208317495827,0.010018172144086731,13.70213785725569,0.0022166238200970368,3.0317391959144806,-0.002390131980541981,-3.2690512224580393,-0.002072474372645558,-2.834581912867267,0.470197606942272,0.4614765798960543,248
XLV,DXY,0.0005675360072833003,0.8493660843225911,-0.0007054013550781972,-1.0556933465889162,-0.002465595180972788,-3.6899736712954274,0.0013114290717686516,1.9626655600001899,0.0015497511308820875,2.3193348665448785,0.08975728980850184,0.07477387071069952,248
XLV,US2Y,0.0005675360072833003,0.8256632568581935,-0.00043890512801737135,-0.6385283626060576,-0.0016878516337844398,-2.4555218684974713,0.0011504579550006095,1.673710301750173,-0.00012126211970055825,-0.17641466867407551,0.03674532914985018,0.020889285185238693,248
XLV,US10Y,0.0005675360072833003,0.8179540552694322,0.0008881598100872231,1.2800490348897544,-7.169272028218724e-05,-0.1033262216591657,0.0011363599837849315,1.6377643798005082,0.00034649229326613057,0.49937761262637076,0.01850244866058881,0.002346110366935994,248
XLV,VIX,0.0005675360072833003,0.9646502556755334,0.0057669185230887375,9.802125955649855,0.0007495066658713028,1.2739487672759406,-0.0007468526448545039,-1.2694376842440833,0.0008388751511806975,1.425849846849221,0.2943208714389943,0.28270475409642637,248
XLY,DXY,0.0003715062294828615,0.41277991071990855,0.002260258116476876,2.511368772529064,-0.003113773398702098,-3.4597080843231804,0.0037167387364015515,4.129661798448619,0.0021706407128505084,2.4117950347768433,0.14481009795478217,0.1307328979211161,248
XLY,US2Y,0.0003715062294828615,0.399978863007736,-0.0012137783627241823,-1.306803630565249,-0.0034260978239268104,-3.688677614033772,0.0027023869221626576,2.909500737142983,-0.00012311823048982056,-0.132554142942345,0.08919462129042044,0.07420194015939863,248
XLY,US10Y,0.0003715062294828615,0.39391005690748415,-0.002212936076630785,-2.346388046013832,0.0006056320626085559,0.6421549393107527,0.0027971629520848595,2.9658469500471294,-0.0009654926169859798,-1.023717024153557,0.06091364150402845,0.04545542984154338,248
XLY,VIX,0.0003715062294828615,0.6740772489450196,0.012137219947269831,22.02230590664617,-0.001047531607484149,-1.9006874397201594,0.00206146156471905,3.7404065667647672,-0.0019222445402168667,-3.487805071997444,0.6793137560135145,0.674034970104272,248
XLP,DXY,9.7361171706845e-05,0.1807970135217949,-0.0012950420859364623,-2.4048574746752673,-0.0013939457399304122,-2.588518835308232,-0.0006733386117054759,-1.2503712511987242,0.0012590498672104499,2.3380209161005623,0.07433345859385632,0.05909614927029849,248
XLP,US2Y,9.7361171706845e-05,0.17520189419541465,0.0006018779719786933,1.0830822895463177,-0.0006022132086791591,-1.0836855495923476,0.000582132246933506,1.047549762877522,-0.0001492718889487393,-0.2686154781774064,0.014266590211666652,-0.0019594741469890486,248
XLP,US10Y,9.7361171706845e-05,0.17587424238445246,0.0011404785485171637,2.060172419454093,-0.00045652482473178903,-0.8246712346596949,0.00013138512284184374,0.23733546479877596,0.00036381634554090897,0.6572016648664576,0.021788888435869014,0.005686647916294918,248
XLP,VIX,9.7361171706845e-05,0.19647539084925747,0.0033312532297368317,6.722487711026389,-0.0001987394192753348,-0.4010572633292443,-0.001743100260333022,-3.5175861068062235,0.0015104515264853945,3.048099656387058,0.2161720454174162,0.20326952764650952,248
XLU,DXY,0.0005932277683989866,0.9455765097656229,-0.0005209064737962676,-0.8302998471159139,-0.0023471428020692365,-3.7412326545196923,-0.00027849456775810226,-0.44390693658877983,0.0007152732582750949,1.140111146370951,0.062438965955131764,0.04700586251406402,248
XLU,US2Y,0.0005932277683989866,0.9175243092336819,0.0001329250785603745,0.20559049556141598,-0.00012565914556501495,-0.19435253518997614,0.0006290882540560224,0.9729884481091349,5.106876314766944e-05,0.07898624124919502,0.004232975731829569,-0.012158251005095044,248
XLU,US10Y,0.0005932277683989866,0.9288994296956457,0.0014820911700545681,2.320716790341996,0.00019103329637576221,0.2991274675749451,0.0007565399193088703,1.184620034703689,0.0003147009733414152,0.49277119216863136,0.028471586643133096,0.012479349386229965,248
XLU,VIX,0.0005932277683989866,1.075692049861535,0.005009068600452984,9.08287770355075,0.0007603821730690289,1.3787909164034178,-0.001172362565437552,-2.1258295015419297,0.0010319365962041195,1.8711969527214758,0.2755357134163894,0.26361037536563037,248
XLI,DXY,0.0007603204799527044,1.0673059456120748,0.0011039950159516631,1.5497418200869786,-0.0028526594301535157,-4.004443456262804,0.002185258358914489,3.0675738726819564,0.0016899895112330362,2.372336272558732,0.12107866883719198,0.10661082799500587,248
XLI,US2Y,0.0007603204799527044,1.0330620736529066,-0.001417667005851115,-1.9262114534978223,-0.002031605912077513,-2.76038206481937,0.001466051083245566,1.9919518309344577,-0.0006248978977265601,-0.8490608040531796,0.06184407283980431,0.04640117691947199,248
XLI,US10Y,0.0007603204799527044,1.0456621894825062,-0.002048600470056848,-2.817422533492439,0.0005469513327690588,0.752217444148349,0.0026049596742712083,3.582578541987332,-0.0007405093672960741,-1.0184161373468268,0.08431720679557675,0.06924423900620358,248
XLI,VIX,0.0007603204799527044,1.8303311409467784,0.009860090655688453,23.7363473107913,7.523639842020721e-05,0.1811177346817627,-0.00034299453906868455,-0.8256960092290976,-0.0010140885433246912,-2.4412308881118117,0.7011394958618743,0.6962199813904648,248
XLB,DXY,0.0004600146003093735,0.6109645424350487,-0.0005488895402534944,-0.7290030503006353,-0.0035615311214430598,-4.730217759430334,0.0023264546017518514,3.089861213751287,0.0014128739077119228,1.87649665893886,0.1289538562008833,0.1146156480725028,248
XLB,US2Y,0.0004600146003093735,0.5821183756969092,-0.0009938802414516856,-1.2576904111348015,-0.0021493210344968408,-2.7198251286177872,0.0008212719831382572,1.039265954837739,-0.00034837396335345177,-0.44084445481952195,0.040487674707510246,0.024693233138909698,248
XLB,US10Y,0.0004600146003093735,0.5810040234877575,-0.0006149773499410348,-0.7767238570890623,0.00042183159907480605,0.5327784294931284,0.0021388714761793413,2.7014206343617113,-0.0008304570766928972,-1.0488773673008638,0.036803500348092766,0.020948413934069654,248
XLB,VIX,0.0004600146003093735,0.8936901546445999,0.009629919579519263,18.708459062924813,3.119695176283027e-05,0.06060766033646221,-0.00045263352241139694,-0.8793506170654666,-0.0009098085332016818,-1.7675241789872822,0.5929017566439454,0.5862005509919939,248
XLRE,DXY,0.00017802228666690051,0.28046249059254175,-0.0006303335706772437,-0.9930493897486788,-0.003524745069272678,-5.553005746306923,0.0011001328453444162,1.7331874764943254,0.0008922530897497564,1.4056864928285129,0.1315284546335963,0.1172326267263305,248
XLRE,US2Y,0.00017802228666690051,0.2640922148355671,0.00040235644036956333,0.5968870835221637,-0.0013429994970166987,-1.992310728789988,0.0005563832653433702,0.8253825495282525,-0.00019642245664066953,-0.2913884693254107,0.02052361689779847,0.004400548863194409,248
XLRE,US10Y,0.00017802228666690051,0.2671458410373891,0.0017003472356937302,2.5515945269534495,0.0006102033176298671,0.9156902854362949,0.0010670206695030035,1.6012047676481003,-0.0006492266702785958,-0.9742499554564281,0.04278756526503269,0.02703098197721432,248
XLRE,VIX,0.00017802228666690051,0.3326302479379524,0.006556232140256918,12.25015790541413,2.1652511727109514e-05,0.04045718364321505,-0.00038007950818719086,-0.7101691783175292,1.6770055169609702e-06,0.003133443409497319,0.38257858673257406,0.3724152712878428,248
XLC,DXY,0.0008369503809529178,1.2002498215473065,0.0011071864448565984,1.58778867075214,-0.0032547416152488356,-4.667544375136339,0.0022612953997362796,3.2428677515016235,0.0010181858917159175,1.460155180815627,0.1320042498856525,0.11771625399899666,248
XLC,US2Y,0.0008369503809529178,1.1386219735756533,-0.0008227040486972308,-1.1192406729414202,-0.0018332734147884925,-2.4940611070319556,0.0006988291937595509,0.95071618807895,-0.0005536751183218224,-0.7532425700380817,0.03550100945569046,0.01962448286236851,248
XLC,US10Y,0.0008369503809529178,1.1589301178512428,-0.0020156783304510375,-2.7911216461842203,0.0002530853494910312,0.35044877281508025,0.002289706899914637,3.170570618943481,0.00015479877673067743,0.21435077710993294,0.06900703272013187,0.05368204560441392,248
XLC,VIX,0.0008369503809529178,1.9480430026727973,0.0094890476358107,22.08622311387628,-0.00018202766329157398,-0.42367830141172824,-0.0002638283861789031,-0.6140734902553093,-0.0010618999208499775,-2.4716240740524458,0.6704936262612637,0.6650696530309965,248
