sector,macro,beta_005,beta_050,beta_095,t_005,t_095,asymmetry
XLB,DXY,-0.0007727531288073319,-0.002222788326078236,-7.363242184523001e-05,-0.29944885973119245,-0.04814960696620305,-0.0006991207069621019
XLB,OIL,0.0009362850620953529,-0.001940976681067538,-0.0021300513096072773,0.36916945995798944,-0.9711644211035236,0.0030663363717026303
XLB,US10Y,-0.0003353441210818812,-0.0028315880500073415,-2.884741849539017e-05,-0.1262085273724585,-0.01799051275141373,-0.000306496702586491
XLB,US2Y,0.0026877748846277807,3.440718356622497e-05,0.0007598348352224719,2.1703355311066717,0.32504965629866744,0.0019279400494053088
XLB,VIX,-0.008079464029331808,-0.009159308803498497,-0.009491281305889273,-7.206921049457188,-15.411611758156871,0.0014118172765574654
XLC,DXY,0.002764763123239534,-0.0020431309304660473,0.0003200786827310618,1.3744031483122274,0.2884604572073916,0.002444684440508472
XLC,OIL,0.0014804423851132163,-0.0015479410725296042,-0.0012244505840943204,0.7558804017025922,-1.795159253042007,0.0027048929692075367
XLC,US10Y,0.0011970425712915296,-0.001471122376391226,-0.0005057125684537849,0.5733645034656983,-0.38326502339802454,0.0017027551397453145
XLC,US2Y,0.0008625947568030638,-0.0010454585684592315,0.00026670025593272063,0.6493142259601192,0.1660082435972377,0.0005958945008703433
XLC,VIX,-0.008181074842187322,-0.008332994413031605,-0.008321028906485029,-5.672191361696094,-5.020273107316287,0.0001399540642977072
XLE,DXY,0.0064450969046316794,0.0012997352859186048,0.0012222744122396723,1.7729320383328133,0.8020485089954547,0.005222822492392008
XLE,OIL,0.00834544328135509,0.008601820745793768,0.007394664409506845,3.1919358036357113,4.0729719853575075,0.0009507788718482449
XLE,US10Y,0.0035292873539323455,0.003233445187679971,0.0029025064491841413,1.061946292707657,2.0881690307698317,0.0006267809047482043
XLE,US2Y,0.0036366542379652296,0.00015268245633601407,0.00219288850769977,1.8508223327752598,1.4454673936027926,0.0014437657302654597
XLE,VIX,-0.009997941992630705,-0.00443041065534783,-0.006046451308505418,-1.9400861502639761,-2.2989187585535165,-0.003951490684125287
XLF,DXY,0.0022709145933522907,5.4420961732914915e-06,-9.832315547616372e-05,0.7996082044969907,-0.05293277859486097,0.0023692377488284543
XLF,OIL,0.0009055945687819202,-0.0016758434335286691,-0.0015919911953675022,0.34645650569122005,-0.6112129478896806,0.0024975857641494226
XLF,US10Y,0.001610541759288743,-0.0010724203951056113,1.3091877645815857e-05,0.49684693498704363,0.00554991404792301,0.0015974498816429272
XLF,US2Y,0.003232147721026717,-0.0011291258976561457,0.0008613170638593284,1.2467382204671429,0.40190475338424625,0.0023708306571673886
XLF,VIX,-0.008931009953082174,-0.00866041269035884,-0.006898439333236917,-4.590230642086914,-3.2200167685856,-0.0020325706198452568
XLI,DXY,0.0018234813585053158,-0.0013136684927157068,-0.001405194081032247,0.7737521752851105,-0.9043471644528546,0.003228675439537563
XLI,OIL,-0.00045913942871204125,-0.0027370592078453503,-0.00318401011530124,-0.2211138099457102,-1.4293066711897608,0.0027248706865891986
XLI,US10Y,-0.00014599225624847755,-0.0019392918168593149,5.0307615597264975e-05,-0.06349578470969658,0.025523770910044097,-0.00019629987184574253
XLI,US2Y,0.0030760380751729465,-0.0007619861775043338,0.000482289414767502,1.6877724579659894,0.21718624337747652,0.0025937486604054446
XLI,VIX,-0.008755279471441849,-0.009188105547041251,-0.008922495150998818,-6.2410014382581265,-6.741364281032755,0.0001672156795569698
XLK,DXY,0.0029697562655249775,-0.00042809009193602916,0.0011054987676755363,0.8571751585828133,0.6181097500275184,0.0018642574978494412
XLK,OIL,0.0023935065483997593,-0.002180554045245867,-0.001236322359382626,0.7920713089438817,-0.8475277314545333,0.0036298289077823856
XLK,US10Y,0.003514078006880509,-0.00011969664477681622,-0.0016233996352838734,0.9466866653377285,-0.8434733693804185,0.005137477642164382
XLK,US2Y,0.0031892081522541097,0.00038873402076255005,0.0027376186117824067,1.2591636836303974,0.9171365131018399,0.00045158954047170305
XLK,VIX,-0.013905785282960395,-0.014241007382527909,-0.01224452250736015,-6.00549704052445,-3.1408641191031186,-0.0016612627756002456
XLP,DXY,-0.001588872512560387,-0.0012486688379106043,0.00019772705156235904,-1.2981279737630231,0.2881296628205462,-0.001786599564122746
XLP,OIL,-0.0010428571778955565,-0.0011315051268664,-0.0006448551039140655,-1.4104474284479864,-0.4898923496487266,-0.000398002073981491
XLP,US10Y,-0.0016003289918947797,-0.0014648962785969047,-0.0005915755814234423,-2.5193703572429937,-0.5847341121201934,-0.0010087534104713373
XLP,US2Y,-0.001139918786977009,-0.0005670355165850957,-0.00023150403168362954,-1.1709716547070363,-0.2755535034229655,-0.0009084147552933793
XLP,VIX,-0.004346596286004982,-0.0016969169715922233,-0.0021116604704713984,-2.84978008682466,-1.0871534172988362,-0.0022349358155335838
XLRE,DXY,0.0009932854834723696,-0.0018585084215695985,-0.0008969873279468584,0.3220072495409196,-1.0404360677299165,0.001890272811419228
XLRE,OIL,0.0021310600124521085,-0.001695671624735567,-0.00018576770798371718,0.8775745077363558,-0.10999493258049882,0.0023168277204358256
XLRE,US10Y,-0.004294576580964418,-0.0021983826500763227,-0.001622007477746663,-1.893368959537735,-1.3788060382492884,-0.0026725691032177547
XLRE,US2Y,-8.723139506228882e-05,-0.0006397875740523261,-0.0001890907476853908,-0.04382049872735083,-0.17964787350471847,0.00010185935262310198
XLRE,VIX,-0.008049414766833251,-0.004976591234263088,-0.0047601620902863176,-4.112107149372524,-2.467221749848833,-0.0032892526765469334
XLU,DXY,0.0011746940302466934,-0.0010287465483559723,-0.0023772108992827835,0.5885177164040851,-3.479844806267833,0.0035519049295294767
XLU,OIL,-0.0008531606497663136,-0.0003599197885371169,0.0008051167184872628,-0.4693155337551266,0.4627709034768964,-0.0016582773682535764
XLU,US10Y,-0.0029011351577493153,-0.0025758445277924555,-0.0022100709041951755,-1.698714694326455,-2.6145930904171664,-0.0006910642535541398
XLU,US2Y,-0.0022310679819113515,-0.0004379900680818194,-0.0013163413633282392,-1.0815351025522486,-1.2359104257198237,-0.0009147266185831123
XLU,VIX,-0.00579175416300056,-0.003964590410287248,-0.0027556592702239896,-3.101393446240177,-1.478377893453808,-0.00303609489277657
XLV,DXY,-0.00046032273126614506,-0.0017365122211014123,-0.00017774526431859204,-0.16963504408467664,-0.11206365715583316,-0.000282577466947553
XLV,OIL,-0.0008285221449344172,-0.0025697044018792217,-0.0014609433627271043,-0.4548869313752288,-1.2057042929071506,0.0006324212177926872
XLV,US10Y,-0.0023778646537878055,-0.0019527443460664287,-0.0016889539631388729,-1.3229758930230804,-0.9899840350849675,-0.0006889106906489326
XLV,US2Y,0.0018971736228902446,-0.0005838629307047592,0.0014490192408690976,1.6230285136770584,0.6629288929980749,0.000448154382021147
XLV,VIX,-0.005980125020858146,-0.0049412787275224836,-0.004915584791192699,-3.3839663175868373,-5.1447683723249344,-0.0010645402296654474
XLY,DXY,0.0026071142690993294,-0.0015543167485842775,0.00043842523404221485,1.1514271708639765,0.22221062343847942,0.0021686890350571144
XLY,OIL,0.0013183141619133147,-0.004089967203079402,-0.0018016756679542466,0.5357070603688883,-1.4816391138140967,0.003119989829867561
XLY,US10Y,0.0014887405430153643,-0.002325137730729155,-0.0024823106668020933,0.5705100699059994,-1.6260448607735922,0.003971051209817457
XLY,US2Y,0.0005058878337911433,-0.0003687787060262156,-0.0019470256248119277,0.26450234724196775,-0.8264728537058861,0.002452913458603071
XLY,VIX,-0.010633158204890593,-0.012416933880308605,-0.010057962750157811,-6.723402728735851,-3.182036082063064,-0.0005751954547327815
